[INFO][2025-04-26 19:31:58] load positive_index from MySQL
[INFO][2025-04-26 19:33:58] 正排索引建立完成 23078
[INFO][2025-04-26 19:33:58] create inverted_index
[DEBUG][2025-04-26 19:33:59] JiebaUtil success
[INFO][2025-04-26 19:53:58] load positive_index from MySQL
[INFO][2025-04-26 19:55:51] 正排索引建立完成 23078
[INFO][2025-04-26 19:55:51] create inverted_index
[DEBUG][2025-04-26 19:55:52] JiebaUtil success
[INFO][2025-04-26 19:57:02] 倒排索引建立完成 57931
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
[ERROR][2025-04-26 19:57:51] No keywords found
